@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute inputs-101 numeric
@attribute inputs-102 numeric
@attribute inputs-103 numeric
@attribute inputs-104 numeric
@attribute inputs-105 numeric
@attribute inputs-106 numeric
@attribute inputs-107 numeric
@attribute inputs-108 numeric
@attribute inputs-109 numeric
@attribute inputs-110 numeric
@attribute inputs-111 numeric
@attribute inputs-112 numeric
@attribute inputs-113 numeric
@attribute inputs-114 numeric
@attribute inputs-115 numeric
@attribute inputs-116 numeric
@attribute inputs-117 numeric
@attribute inputs-118 numeric
@attribute inputs-119 numeric
@attribute inputs-120 numeric
@attribute inputs-121 numeric
@attribute inputs-122 numeric
@attribute inputs-123 numeric
@attribute inputs-124 numeric
@attribute inputs-125 numeric
@attribute inputs-126 numeric
@attribute inputs-127 numeric
@attribute inputs-128 numeric
@attribute outputs-1 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}

@data
1,'2017/10/15 15:19:07:666',1,-65.598457,-62.435883,-59.867779,-58.109047,-56.059933,-55.397892,-57.087399,-60.89056,-65.180763,-70.283592,-76.58651,-71.418175,-70.011345,-71.966988,-74.517876,-75.449394,-76.55159,-77.991302,-77.212944,-73.21933,-71.486542,-71.87059,-72.25782,-72.930893,-75.27562,-77.088852,-78.359886,-83.144653,-92.275658,-88.944801,-79.724762,-75.54937,-75.228767,-79.62262,-97.095871,-79.331223,-77.768425,-81.421257,-84.500435,-84.395134,-89.729561,-90.867271,-88.242828,-90.012871,-92.493889,-93.055771,-94.281563,-100.179184,-110.890884,-103.580757,-101.730614,-100.69545,-101.143356,-104.08313,-100.994186,-97.749596,-99.754227,-111.821121,-109.364456,-106.298691,-98.621178,-94.371941,-94.888977,-100.980537,-115.153297,-102.588402,-99.943573,-100.247749,-103.052719,-109.950577,-110.408043,-103.019249,-101.745094,-103.576271,-106.243172,-107.014992,-104.168793,-99.759041,-97.391533,-97.841385,-100.885231,-103.608826,-102.954926,-104.225143,-111.091255,-114.113396,-104.889503,-103.532524,-106.441429,-106.817276,-106.287262,-107.534142,-108.997284,-109.714531,-107.065987,-105.962563,-106.908417,-112.817307,-109.337067,-105.136024,-107.075287,-110.219643,-106.836296,-107.714325,-122.083954,-109.733299,-105.830757,-108.168373,-113.462646,-110.05809,-108.991203,-109.68679,-111.135422,-113.896362,-110.2528,-108.261337,-107.992935,-108.449776,-110.576225,-112.057739,-111.499519,-111.553764,-111.790459,-111.596352,-111.444183,-111.433205,-111.437012,-111.429535,?
2,'2017/10/15 15:19:07:771',1,-65.598457,-62.435883,-59.867779,-58.109047,-56.059933,-55.397892,-57.087399,-60.89056,-65.180763,-70.283592,-76.58651,-71.418175,-70.011345,-71.966988,-74.517876,-75.449394,-76.55159,-77.991302,-77.212944,-73.21933,-71.486542,-71.87059,-72.25782,-72.930893,-75.27562,-77.088852,-78.359886,-83.144653,-92.275658,-88.944801,-79.724762,-75.54937,-75.228767,-79.62262,-97.095871,-79.331223,-77.768425,-81.421257,-84.500435,-84.395134,-89.729561,-90.867271,-88.242828,-90.012871,-92.493889,-93.055771,-94.281563,-100.179184,-110.890884,-103.580757,-101.730614,-100.69545,-101.143356,-104.08313,-100.994186,-97.749596,-99.754227,-111.821121,-109.364456,-106.298691,-98.621178,-94.371941,-94.888977,-100.980537,-115.153297,-102.588402,-99.943573,-100.247749,-103.052719,-109.950577,-110.408043,-103.019249,-101.745094,-103.576271,-106.243172,-107.014992,-104.168793,-99.759041,-97.391533,-97.841385,-100.885231,-103.608826,-102.954926,-104.225143,-111.091255,-114.113396,-104.889503,-103.532524,-106.441429,-106.817276,-106.287262,-107.534142,-108.997284,-109.714531,-107.065987,-105.962563,-106.908417,-112.817307,-109.337067,-105.136024,-107.075287,-110.219643,-106.836296,-107.714325,-122.083954,-109.733299,-105.830757,-108.168373,-113.462646,-110.05809,-108.991203,-109.68679,-111.135422,-113.896362,-110.2528,-108.261337,-107.992935,-108.449776,-110.576225,-112.057739,-111.499519,-111.553764,-111.790459,-111.596352,-111.444183,-111.433205,-111.437012,-111.429535,?
3,'2017/10/15 15:19:07:976',1,-82.525703,-88.621246,-82.594765,-77.507431,-77.221405,-79.948593,-78.023918,-73.585396,-71.846283,-69.453674,-67.569328,-68.580101,-73.78019,-89.744911,-77.130592,-71.46431,-64.666939,-59.760326,-57.862839,-59.013954,-63.773659,-70.37101,-66.363998,-62.987835,-60.445797,-59.082424,-59.372448,-60.166332,-55.910076,-50.355423,-46.974403,-45.711411,-46.243725,-47.923904,-48.485836,-47.27562,-47.143215,-48.857605,-51.535671,-54.441128,-57.893517,-60.122093,-58.665203,-56.008858,-54.322121,-53.990726,-54.347893,-54.693485,-57.020794,-65.569344,-70.295792,-65.13623,-63.403637,-60.560455,-60.44101,-62.808537,-64.374573,-65.543747,-68.373215,-64.889206,-64.397087,-70.303261,-74.572853,-69.995239,-70.627892,-71.731857,-71.86467,-70.856812,-65.62236,-60.311829,-57.740974,-58.048645,-61.097115,-63.810558,-62.169422,-61.246555,-63.043335,-70.570763,-71.125839,-62.813683,-60.010323,-60.307755,-63.964874,-70.680832,-73.964645,-81.619873,-67.533081,-63.051746,-63.809612,-71.729202,-73.331291,-66.83329,-66.297737,-68.206688,-72.705162,-75.188728,-79.191704,-75.389694,-70.491158,-71.658211,-78.324097,-88.589409,-89.428085,-91.08696,-80.505081,-75.889297,-72.528885,-73.451134,-73.884491,-67.888298,-66.196831,-68.470154,-73.783859,-76.879013,-77.467537,-79.558838,-84.283043,-92.609009,-90.518517,-89.106415,-89.250992,-89.738083,-89.870819,-89.862823,-89.935402,-89.993065,-90.046005,-90.047691,?
4,'2017/10/15 15:19:08:080',1,-82.525703,-88.621246,-82.594765,-77.507431,-77.221405,-79.948593,-78.023918,-73.585396,-71.846283,-69.453674,-67.569328,-68.580101,-73.78019,-89.744911,-77.130592,-71.46431,-64.666939,-59.760326,-57.862839,-59.013954,-63.773659,-70.37101,-66.363998,-62.987835,-60.445797,-59.082424,-59.372448,-60.166332,-55.910076,-50.355423,-46.974403,-45.711411,-46.243725,-47.923904,-48.485836,-47.27562,-47.143215,-48.857605,-51.535671,-54.441128,-57.893517,-60.122093,-58.665203,-56.008858,-54.322121,-53.990726,-54.347893,-54.693485,-57.020794,-65.569344,-70.295792,-65.13623,-63.403637,-60.560455,-60.44101,-62.808537,-64.374573,-65.543747,-68.373215,-64.889206,-64.397087,-70.303261,-74.572853,-69.995239,-70.627892,-71.731857,-71.86467,-70.856812,-65.62236,-60.311829,-57.740974,-58.048645,-61.097115,-63.810558,-62.169422,-61.246555,-63.043335,-70.570763,-71.125839,-62.813683,-60.010323,-60.307755,-63.964874,-70.680832,-73.964645,-81.619873,-67.533081,-63.051746,-63.809612,-71.729202,-73.331291,-66.83329,-66.297737,-68.206688,-72.705162,-75.188728,-79.191704,-75.389694,-70.491158,-71.658211,-78.324097,-88.589409,-89.428085,-91.08696,-80.505081,-75.889297,-72.528885,-73.451134,-73.884491,-67.888298,-66.196831,-68.470154,-73.783859,-76.879013,-77.467537,-79.558838,-84.283043,-92.609009,-90.518517,-89.106415,-89.250992,-89.738083,-89.870819,-89.862823,-89.935402,-89.993065,-90.046005,-90.047691,?
5,'2017/10/15 15:19:08:183',1,-60.367996,-60.60553,-61.489319,-63.971382,-69.378662,-59.880566,-54.274899,-54.443161,-62.236191,-51.615761,-46.344448,-44.845417,-45.841476,-49.713329,-63.53199,-52.288574,-45.515072,-43.453873,-44.222946,-45.544193,-44.317669,-42.206371,-40.879631,-40.983475,-40.806629,-39.967426,-40.812805,-44.480122,-48.719524,-46.581516,-40.67775,-35.343521,-34.528728,-39.256592,-40.606213,-35.94743,-36.217422,-40.405216,-51.251156,-44.625038,-44.32655,-49.373959,-41.126221,-38.530487,-40.691135,-49.868206,-47.883316,-42.905071,-42.441292,-43.335579,-46.141567,-54.828995,-43.502987,-38.748695,-37.963669,-39.859871,-42.717445,-42.422016,-42.108593,-44.87505,-50.75069,-55.037441,-53.712025,-55.102638,-57.101219,-51.712852,-53.351883,-70.593346,-55.226578,-51.218807,-47.556175,-44.319565,-43.27951,-42.917164,-40.868713,-40.197433,-42.574615,-43.65255,-41.493576,-42.327988,-47.431229,-53.702892,-45.376766,-42.276768,-44.364758,-49.995033,-44.974571,-45.052349,-52.596565,-44.503304,-38.910824,-38.42635,-43.348991,-52.464687,-43.371399,-42.277882,-45.181252,-51.00127,-52.960606,-52.568356,-52.75803,-52.81002,-58.057419,-55.609192,-49.77504,-50.078678,-55.854813,-55.457352,-52.650902,-52.468006,-47.361317,-45.486359,-47.579098,-53.185307,-59.893417,-59.829998,-57.444599,-57.814114,-62.55294,-66.685326,-64.441208,-67.291466,-75.690048,-87.836418,-78.826546,-78.648766,-80.735756,-82.256454,?
6,'2017/10/15 15:19:08:288',1,-53.014942,-53.564423,-54.010574,-53.553699,-53.50264,-53.162842,-52.558266,-51.875874,-49.730751,-49.080227,-49.880634,-53.269184,-55.898766,-46.848526,-45.392273,-47.278927,-45.865715,-46.063305,-53.600861,-51.771545,-47.517776,-48.731068,-48.197327,-46.497986,-44.123222,-40.988922,-40.927681,-40.888145,-37.714584,-37.048779,-36.870102,-36.212769,-34.485905,-31.184387,-30.476561,-32.572586,-35.04039,-37.098198,-42.146454,-57.967899,-50.902428,-43.422401,-38.002808,-35.865993,-36.726154,-40.62096,-47.130051,-49.614071,-44.991428,-40.047817,-39.038845,-41.126617,-46.31229,-59.076595,-57.810944,-63.565693,-61.535042,-61.176376,-54.973026,-53.862869,-66.080811,-48.484074,-44.782837,-46.414574,-47.882324,-46.655998,-51.196793,-53.922043,-43.187527,-39.414799,-38.002609,-37.727863,-37.670845,-36.981758,-37.809242,-42.141769,-42.860092,-40.030556,-40.525616,-42.549633,-43.305916,-42.782375,-43.19492,-47.19302,-61.12484,-46.412327,-45.314198,-40.285393,-34.17194,-32.314602,-33.433567,-34.579582,-34.912231,-36.206066,-35.546379,-35.151409,-37.895306,-42.03344,-43.220703,-46.363163,-53.199547,-51.553986,-50.257195,-52.355629,-47.283325,-46.12632,-44.881348,-39.758533,-38.771664,-42.633167,-52.033447,-58.857651,-59.573841,-50.259064,-48.696857,-48.92038,-50.865822,-53.749695,-54.942932,-56.106007,-56.708389,-56.950363,-56.530056,-56.118053,-56.047215,-55.855289,-55.758717,-55.743961,?
7,'2017/10/15 15:19:08:389',1,-91.823898,-80.687302,-71.693085,-69.259987,-76.541649,-67.704468,-60.53434,-58.452248,-57.539726,-56.789776,-57.366211,-60.981514,-63.489647,-54.027039,-50.089027,-48.628601,-48.861427,-52.248768,-62.770329,-57.293983,-53.19622,-49.934975,-48.599476,-50.334373,-48.643578,-43.670952,-41.766853,-42.969112,-43.84087,-40.330021,-37.423595,-34.821743,-31.770092,-29.598869,-29.650801,-32.657417,-37.360245,-38.294361,-41.570911,-50.442429,-44.313946,-41.54443,-39.636917,-39.944386,-44.845459,-50.722286,-45.928223,-48.537483,-63.15176,-51.703865,-50.211098,-49.915817,-48.10841,-45.751221,-43.285748,-42.632244,-44.994961,-52.689507,-55.975887,-50.790848,-51.519341,-52.243061,-50.233452,-49.800465,-51.347065,-53.377541,-57.09499,-58.675659,-51.668781,-47.784164,-49.101215,-51.722378,-45.153145,-43.936115,-47.767624,-52.202206,-50.085735,-51.433048,-55.420567,-57.090042,-57.372143,-52.483955,-49.515289,-52.267883,-65.845718,-49.774445,-45.411465,-45.349285,-50.531765,-61.805405,-55.828758,-81.619377,-52.809109,-49.349735,-50.058609,-51.737,-53.366405,-54.535301,-53.554604,-51.416695,-50.064594,-50.090027,-52.729923,-62.129841,-62.580173,-55.280025,-54.050381,-55.981693,-61.211399,-67.832603,-53.235607,-48.600422,-48.100361,-50.916809,-56.6716,-58.15353,-55.495659,-55.922821,-57.526119,-57.638718,-58.11422,-58.604301,-58.640541,-58.622387,-58.642963,-58.714138,-58.760159,-58.770222,?
8,'2017/10/15 15:19:08:491',1,-91.823898,-80.687302,-71.693085,-69.259987,-76.541649,-67.704468,-60.53434,-58.452248,-57.539726,-56.789776,-57.366211,-60.981514,-63.489647,-54.027039,-50.089027,-48.628601,-48.861427,-52.248768,-62.770329,-57.293983,-53.19622,-49.934975,-48.599476,-50.334373,-48.643578,-43.670952,-41.766853,-42.969112,-43.84087,-40.330021,-37.423595,-34.821743,-31.770092,-29.598869,-29.650801,-32.657417,-37.360245,-38.294361,-41.570911,-50.442429,-44.313946,-41.54443,-39.636917,-39.944386,-44.845459,-50.722286,-45.928223,-48.537483,-63.15176,-51.703865,-50.211098,-49.915817,-48.10841,-45.751221,-43.285748,-42.632244,-44.994961,-52.689507,-55.975887,-50.790848,-51.519341,-52.243061,-50.233452,-49.800465,-51.347065,-53.377541,-57.09499,-58.675659,-51.668781,-47.784164,-49.101215,-51.722378,-45.153145,-43.936115,-47.767624,-52.202206,-50.085735,-51.433048,-55.420567,-57.090042,-57.372143,-52.483955,-49.515289,-52.267883,-65.845718,-49.774445,-45.411465,-45.349285,-50.531765,-61.805405,-55.828758,-81.619377,-52.809109,-49.349735,-50.058609,-51.737,-53.366405,-54.535301,-53.554604,-51.416695,-50.064594,-50.090027,-52.729923,-62.129841,-62.580173,-55.280025,-54.050381,-55.981693,-61.211399,-67.832603,-53.235607,-48.600422,-48.100361,-50.916809,-56.6716,-58.15353,-55.495659,-55.922821,-57.526119,-57.638718,-58.11422,-58.604301,-58.640541,-58.622387,-58.642963,-58.714138,-58.760159,-58.770222,?
9,'2017/10/15 15:19:08:593',1,-52.384304,-52.732964,-53.180981,-53.223724,-52.450047,-52.215515,-52.645267,-48.122158,-45.294647,-46.281799,-49.418381,-51.253113,-56.479893,-58.398045,-49.105179,-46.421665,-50.150448,-52.300148,-45.44215,-46.237579,-51.943863,-50.919071,-49.09885,-52.601646,-47.234428,-41.650467,-39.904076,-38.830643,-36.523705,-33.986286,-30.577742,-29.303928,-34.946011,-33.924034,-25.875891,-24.686892,-26.317242,-28.433975,-31.366003,-37.923798,-43.452641,-33.83773,-31.73218,-33.009228,-36.631378,-38.085823,-34.147766,-34.21294,-39.611336,-45.586193,-41.537804,-38.925182,-35.884636,-33.716167,-32.322563,-31.669619,-32.343132,-35.036419,-38.490715,-38.234138,-38.451645,-40.445137,-42.079121,-42.68478,-43.350376,-48.327812,-52.156075,-43.655071,-42.667435,-46.866192,-52.545498,-48.456772,-45.229187,-42.94352,-44.07832,-48.743515,-52.562786,-62.062645,-54.489864,-48.938511,-48.874249,-48.883797,-48.777103,-47.204021,-44.868164,-45.120533,-44.82085,-43.435833,-45.737186,-50.102131,-45.536301,-45.306213,-49.328697,-48.087234,-46.06908,-47.510178,-50.69141,-52.101681,-51.638664,-53.004837,-57.416706,-53.680996,-52.428295,-58.1684,-64.497154,-56.357445,-57.728153,-73.433876,-60.58358,-57.18766,-61.12833,-61.167213,-53.301624,-52.484344,-56.465401,-60.046146,-58.571659,-56.783943,-57.217926,-60.664097,-62.249336,-61.626091,-61.510002,-61.574718,-61.681911,-61.81673,-61.87915,-61.912788,?
10,'2017/10/15 15:19:08:696',1,-72.47747,-70.730385,-68.93261,-68.399963,-68.097137,-66.898148,-64.819954,-64.24073,-66.487137,-75.231133,-72.95459,-65.208664,-63.12899,-63.003342,-65.008011,-66.310242,-65.394295,-71.89489,-71.609383,-64.072441,-61.622974,-60.894413,-62.036312,-56.870285,-54.463875,-57.556774,-57.259392,-52.591129,-52.923836,-50.247433,-45.999374,-45.649811,-46.435959,-44.382481,-44.087669,-46.803188,-48.80526,-48.144958,-49.270737,-51.405323,-49.383125,-46.470989,-45.477627,-46.477989,-49.072987,-51.905254,-56.569641,-58.836533,-50.605312,-48.582077,-49.036854,-50.304817,-53.336056,-53.104465,-51.587807,-55.638596,-65.316902,-53.047451,-49.008636,-47.839909,-49.206703,-53.999592,-70.684052,-56.847057,-52.476158,-52.57008,-56.160877,-64.250305,-64.25914,-57.279354,-54.864792,-55.561329,-59.098515,-64.304817,-67.199242,-67.273254,-62.822166,-59.133232,-58.912647,-64.684196,-73.232788,-63.267326,-63.394749,-65.081436,-69.679321,-68.466164,-63.912731,-65.527145,-60.08152,-57.478951,-60.256973,-66.588104,-62.885284,-60.869221,-60.916153,-62.434109,-62.702484,-59.933903,-58.252563,-59.493774,-65.057838,-64.672989,-61.313198,-62.258846,-65.557762,-67.268845,-65.708183,-69.092323,-68.694481,-64.699242,-69.40136,-70.28508,-63.762527,-64.101402,-68.795807,-74.074699,-71.969635,-70.504616,-68.89119,-68.201752,-68.619614,-68.94809,-69.123138,-69.204506,-69.240608,-69.259354,-69.278465,-69.285324,?
